青木,あおき
国際センター西,こくさいせんたーにし
博物館・国際センター前,はくぶつかんこくさいせんたーまえ
穀町,こくちょう
国立病院前,こくりつびょういんまえ
小坂南,こざかみなみ
小在家,こざけ
小在家橋,こざけばし
小鶴,こづる
小鶴新田駅,こづるしんでんえき
小鶴住宅入口,こづるじゅうたくいりぐち
扇町二丁目・小鶴老人福祉センター,おうぎまちにちょうめこづるろうじんふくしせんたー
宮城広瀬高校・こども病院前,みやぎひろせこうこうこどもびょういんまえ
こまくさ苑前,こまくさえんまえ
小松島三丁目,こまつしまさんちょうめ
小松島小学校前,こまつしましょうがっこうまえ
小松島新堤橋,こまつしましんつつみばし
西の平一丁目金剛沢小学校前,にしのだいらいっちょうめこんごうざわしょうがっこうまえ
郷六,ごうろく
斉野神,さいのかみ
幸町一丁目,さいわいちょういっちょうめ
幸町五丁目,さいわいちょうごちょうめ
青葉病院・幸町市民センター入口,あおばびょういんさいわいちょうしみんせんたーいりぐち
幸町小学校前,さいわいちょうしょうがっこうまえ
幸町二丁目,さいわいちょうにちょうめ
境,さかい
境野,さかいの
栄一丁目,さかえいっちょうめ
作並駅,さくなみえき
作並駅前,さくなみえきまえ
作並温泉入口,さくなみおんせんいりぐち
作並温泉仲町,さくなみおんせんなかまち
作並温泉元木,さくなみおんせんもとき
作並温泉元湯,さくなみおんせんもとゆ
作並川崎,さくなみかわさき
作並川崎入口,さくなみかわさきいりぐち
作並宿,さくなみしゅく
作並新坂,さくなみにいざか
作並新坂東,さくなみにいざかひがし
作並深沢山,さくなみふかざわやま
桜ケ丘一丁目,さくらがおかいっちょうめ
桜ケ丘県営住宅前,さくらがおかけんえいじゅうたくまえ
桜ケ丘五丁目,さくらがおかごちょうめ
桜丘小学校前,さくらがおかしょうがっこうまえ
桜ケ丘団地入口,さくらがおかだんちいりぐち
桜ケ丘七丁目,さくらがおかななちょうめ
桜ケ丘四丁目,さくらがおかよんちょうめ
桜ケ丘ロータリー,さくらがおかろーたりー
桜ケ丘六丁目,さくらがおかろくちょうめ
笹新田,ささしんでん
笹新田西,ささしんでんにし
実沢(西側),さねざわ
実沢(東側),さねざわ
市営バス実沢営業所前,しえいばすさねざわえいぎょうしょまえ
三桜高校前,さんおうこうこうまえ
産業技術総合研究所前,さんぎょうぎじゅつそうごうけんきゅうじょまえ
三条町,さんじょうまち
三百人町,さんびゃくにんまち
三百人町西,さんびゃくにんまちにし
新寺四丁目・サンプラザ入口,しんてらよんちょうめさんぷらざいりぐち
三本塚,さんぼんつか
雑子袋,ざつこふくろ
市営バス岡田車庫入口,しえいばすおかだしゃこいりぐち
市営バス岡田車庫前,しえいばすおかだしゃこまえ
市営バス霞の目営業所前,しえいばすかすみのめえいぎょうしょまえ
市営バス川内営業所前,しえいばすかわうちえいぎょうしょまえ
市営バス実沢営業所前,しえいばすさねざわえいぎょうしょまえ
市営バス白沢車庫前,しえいばすしらさわしゃこまえ
市営バス東仙台営業所前,しえいばすひがしせんだいえいぎょうしょまえ
塩野沢,しおのさわ
視覚支援学校前,しかくしえんがっこうまえ
歯学部・東北会病院前,しがくぶとうほくかいびょういんまえ
七郷市民センター前,しちごうしみんせんたーまえ
七郷小学校前,しちごうしょうがっこうまえ
七郷中学校前,しちごうちゅうがっこうまえ
子平町・壽徳寺前,しへいまちじゅとくじまえ
子平町・龍雲院前,しへいまちりゅううんいんまえ
市民会館前,しみんかいかんまえ
